Z-XX-A-m;n;p;Svyazey;X;Y;Z;centrX;centrY;centrZ;Centrobeg;He4;He3;H3;H2;p;n;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;Binding
4-Be-10-m 6,179 MeV;6;4;14;5;4;5;5,4;5,5;2,3;7,952981408;2;0;0;0;0;2;2;0;4;0;0;0;0;0;2;2;0;0;58,8
4-Be-11;7;4;15;4;5;6;5,545454545;5,363636364;2,181818182;8,573295456;2;0;0;0;0;3;3;0;4;0;0;0;0;0;2;1;1;0;65,483
4-Be-12;8;4;16;4;6;6;5,5;5,5;2,166666667;10,23334547;2;0;0;0;0;4;4;0;4;0;0;0;0;0;2;0;2;0;68,651
4-Be-13;9;4;17;5;6;6;5,384615385;5,538461538;2,153846154;11,7451573;2;0;0;0;0;5;5;0;4;0;0;0;0;0;2;0;1;1;68,55
4-Be-14;10;4;18;6;6;6;5,5;5,5;2,142857143;13,39562313;2;0;0;0;0;6;6;0;4;0;0;0;0;0;2;0;0;2;69,921
4-Be-15;11;4;19;6;7;6;5,466666667;5,4;2,2;14,92500979;2;0;0;0;0;7;7;0;4;0;0;0;0;0;1;1;0;2;68,143
4-Be-16;12;4;20;6;8;6;5,5;5,5;2,25;16,55790079;2;0;0;0;0;8;8;0;4;0;0;0;0;0;0;2;0;2;68,314
5-B-6;1;5;5;2;2;1;6;5;2,833333333;4;0;1;0;0;3;0;0;0;0;0;1;0;5;0;0;0;0;0;0,917
5-B-7;2;5;7;2;3;2;5,571428571;5,285714286;2,714285714;5,686753122;1;0;0;0;3;0;0;0;1;1;0;0;3;2;0;0;0;0;24,718
5-B-8;3;5;9;3;4;2;5,5;5,125;2,75;7,031725716;1;0;0;1;2;0;0;1;1;1;0;0;2;2;1;0;0;0;37,738
5-B-9;4;5;12;4;5;3;5,444444444;5,111111111;2,666666667;7,524160526;1;1;0;1;0;0;0;1;2;1;0;0;0;4;0;1;0;0;56,316
5-B-10;5;5;15;5;6;4;5,5;5,2;2,6;8,527658376;2;0;0;1;0;0;0;1;3;1;0;0;0;1;3;1;0;0;64,753
5-B-11;6;5;17;5;7;5;5,545454545;5,090909091;2,545454545;9,769496301;2;0;0;1;0;0;0;2;3;1;0;0;0;0;3;2;0;0;76,206
5-B-12;7;5;18;5;7;6;5,583333333;5,083333333;2,416666667;10,19197461;2;0;0;1;0;1;1;2;3;1;0;0;0;0;3;1;1;0;79,577
5-B-13;8;5;19;5;7;7;5,538461538;5,153846154;2,307692308;11,27484327;2;0;0;1;0;2;2;2;3;1;0;0;0;0;2;2;1;0;84,455
5-B-14;9;5;20;5;8;7;5,5;5,285714286;2,285714286;13,16312075;2;0;0;1;0;3;3;2;3;1;0;0;0;0;2;1;2;0;85,426
5-B-15;10;5;21;6;8;7;5,4;5,333333333;2,266666667;14,80758091;2;0;0;1;0;4;4;2;3;1;0;0;0;0;2;1;1;1;88,188
5-B-16;11;5;22;7;8;7;5,5;5,3125;2,25;16,35438675;2;0;0;1;0;5;5;2;3;1;0;0;0;0;2;1;0;2;88,152
5-B-17;12;5;23;7;9;7;5,529411765;5,411764706;2,294117647;18,07851823;2;0;0;1;0;6;6;2;3;1;0;0;0;0;1;2;0;2;89,533
5-B-18;13;5;24;8;9;7;5,444444444;5,388888889;2,333333333;19,62748101;2;0;0;1;0;7;7;2;3;1;0;0;0;0;1;1;1;2;89,075
5-B-19;14;5;25;9;9;7;5,526315789;5,421052632;2,368421053;21,24846748;2;0;0;1;0;8;8;2;3;1;0;0;0;0;1;0;2;2;90,046
6-C-8;2;6;8;2;4;2;5,5;5,5;2,75;7,404918347;1;0;0;0;4;0;0;0;0;2;0;0;4;2;0;0;0;0;24,783
6-C-9;3;6;10;3;5;2;5,444444444;5,333333333;2,777777778;8,896404878;1;0;0;1;3;0;0;1;0;2;0;0;3;2;1;0;0;0;39,039
6-C-10;4;6;12;4;6;2;5,5;5,5;2,8;10,56719601;2;0;0;0;2;0;0;2;0;2;0;0;2;2;2;0;0;0;60,322
