Z-XX-A-m;n;p;Svyazey;X;Y;Z;centrX;centrY;centrZ;Centrobeg;He4;He3;H3;H2;p;n;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;Binding
22-Ti-62;40;22;116;38;40;38;5,5;5,5;3,387096774;98,11548737;10;0;2;0;0;16;6;14;8;6;2;4;0;0;0;6;4;12;494,919
22-Ti-63;41;22;117;38;41;38;5,476190476;5,46031746;3,380952381;101,0120214;10;0;2;0;0;17;7;14;8;6;2;4;0;0;0;5;5;12;496,491
23-V-40;17;23;69;26;25;18;5,375;5,5;3,7;59,95513213;7;0;0;3;6;0;0;3;4;3;3;4;2;9;5;3;2;2;294,563
23-V-41;18;23;73;27;27;19;5,341463415;5,487804878;3,682926829;61,40640739;7;1;0;3;4;0;0;3;4;4;3;4;2;7;7;1;4;2;313,135
23-V-42;19;23;77;28;29;20;5,380952381;5,5;3,666666667;63,11690596;7;2;0;3;2;0;0;3;4;5;3;4;2;5;8;1;5;2;329,176
23-V-43;20;23;80;29;30;21;5,418604651;5,465116279;3,651162791;65,29135019;8;1;0;3;2;0;0;3;5;5;3;4;2;4;7;3;5;2;347,098
23-V-44;21;23;83;30;31;22;5,386363636;5,5;3,636363636;67,36180229;9;0;0;3;2;0;0;3;6;5;3;4;2;3;6;5;5;2;361,269
23-V-44-m ;21;23;82;29;31;22;5,431818182;5,431818182;3,613636364;66,83870877;8;1;0;4;1;0;0;4;5;5;3;4;1;5;7;2;6;2;361,269
23-V-45;22;23;86;31;32;23;5,377777778;5,488888889;3,6;67,98459707;9;1;0;3;0;0;0;3;7;5;3;4;0;5;6;5;4;3;377,1
23-V-46;23;23;89;32;33;24;5,391304348;5,5;3,565217391;68,78393449;10;0;0;3;0;0;0;3;8;5;3;4;0;3;8;5;3;4;390,365
23-V-47;24;23;91;32;34;25;5,404255319;5,468085106;3,531914894;70,37679452;10;0;0;3;0;1;0;4;8;5;3;4;0;3;7;5;4;4;403,366
23-V-48;25;23;93;32;35;26;5,395833333;5,5;3,5;71,9516307;10;0;0;3;0;2;0;5;8;5;3;4;0;3;6;5;5;4;413,911
23-V-49;26;23;95;33;35;27;5,367346939;5,510204082;3,469387755;73,42007829;10;0;0;3;0;3;0;6;8;5;3;4;0;3;6;3;7;4;425,463
23-V-50;27;23;97;34;35;28;5,4;5,5;3,44;75,11373394;10;0;0;3;0;4;0;7;8;5;3;4;0;3;6;1;9;4;434,8
23-V-51;28;23;99;34;36;29;5,411764706;5,450980392;3,431372549;77,66130753;10;0;0;3;0;4;0;8;8;5;3;4;0;2;7;1;8;5;445,851
23-V-52;29;23;101;34;37;30;5,403846154;5,5;3,423076923;80,21577492;10;0;0;3;0;4;0;9;8;5;3;4;0;1;8;1;7;6;453,163
23-V-53;30;23;103;35;37;31;5,358490566;5,509433962;3,41509434;82,65438195;10;0;0;3;0;4;0;10;8;5;3;4;0;0;9;1;6;7;461,642
23-V-54;31;23;105;36;38;31;5,388888889;5,462962963;3,425925926;85,62957419;10;0;1;2;0;5;0;11;8;5;3;4;0;0;7;3;6;7;467,756
23-V-55;32;23;107;37;39;31;5,363636364;5,509090909;3,436363636;88,48905208;10;0;2;1;0;6;0;12;8;5;3;4;0;0;5;5;6;7;475,086
23-V-56;33;23;109;38;40;31;5,321428571;5,535714286;3,446428571;91,26079393;10;0;3;0;0;7;0;13;8;5;3;4;0;0;4;5;7;7;480,088
23-V-56-m ;33;23;108;37;39;32;5,375;5,5;3,392857143;89,29181244;10;0;2;1;0;7;1;12;8;5;3;4;0;0;5;5;5;8;480,088
23-V-57;34;23;111;38;41;32;5,315789474;5,50877193;3,473684211;92,81834354;10;0;3;0;0;8;0;14;8;5;3;4;0;0;3;6;6;8;486,269
23-V-58;35;23;113;38;42;33;5,327586207;5,534482759;3,5;94,44153927;10;0;3;0;0;9;0;15;8;5;3;4;0;0;2;7;5;9;490,361
23-V-59;36;23;115;39;42;34;5,305084746;5,525423729;3,525423729;95,86456739;10;0;3;0;0;10;0;16;8;5;3;4;0;0;2;6;5;10;495,322
23-V-60;37;23;117;40;42;35;5,333333333;5,533333333;3,55;97,60723328;10;0;3;0;0;11;0;17;8;5;3;4;0;0;2;4;7;10;498,894
23-V-60-m ;37;23;116;39;42;35;5,316666667;5,516666667;3,483333333;96,7244388;10;0;3;0;0;11;1;16;8;5;3;4;0;0;2;6;4;11;498,894
23-V-61;38;23;118;40;42;36;5,344262295;5,524590164;3,508196721;98,44798344;10;0;3;0;0;12;1;17;8;5;3;4;0;0;2;4;6;11;503,765
23-V-62;39;23;119;40;42;37;5,338709677;5,532258065;3,467741935;99,03303382;10;0;3;0;0;13;2;17;8;5;3;4;0;0;2;4;5;12;506,837
23-V-63;40;23;120;40;42;38;5,317460317;5,507936508;3,444444444;101,0624099;10;0;3;0;0;14;3;17;8;5;3;4;0;0;1;5;5;12;511,408
23-V-64;41;23;121;40;42;39;5,34375;5,53125;3,421875;103,2833148;10;0;3;0;0;15;4;17;8;5;3;4;0;0;0;6;5;12;513,98
23-V-65;42;23;122;41;42;39;5,384615385;5,523076923;3,415384615;105,966055;10;0;3;0;0;16;5;17;8;5;3;4;0;0;0;6;4;13;517,952
24-Cr-42;18;24;71;29;26;16;5,5;5,357142857;3,666666667;69,29152007;7;0;0;4;6;0;0;5;2;3;5;3;2;10;4;4;3;1;314,224
24-Cr-43;19;24;75;30;28;17;5,465116279;5,348837209;3,651162791;70,80796957;7;1;0;4;4;0;0;5;2;4;5;3;2;8;6;2;5;1;330,425
24-Cr-44;20;24;79;31;30;18;5,5;5,363636364;3,636363636;72,47006978;7;2;0;3;3;1;0;5;2;5;5;3;2;6;8;0;7;1;349,827
24-Cr-45;21;24;82;32;31;19;5,533333333;5,333333333;3,622222222;74,44077682;8;1;0;3;3;1;0;5;3;5;5;3;2;6;5;3;7;1;363,438
24-Cr-46;22;24;85;33;32;20;5,5;5,369565217;3,608695652;76,72165126;9;0;0;3;3;1;0;5;4;5;5;3;2;5;4;5;7;1;381,984
24-Cr-47;23;24;88;34;33;21;5,489361702;5,361702128;3,574468085;77,32728888;9;1;0;3;1;1;0;5;5;5;5;3;0;7;4;5;6;2;395,139
24-Cr-48;24;24;91;35;34;22;5,5;5,375;3,541666667;78,15178207;10;0;0;3;1;1;0;5;6;5;5;3;0;5;6;5;5;3;411,472
24-Cr-49;25;24;93;35;35;23;5,510204082;5,346938776;3,510204082;79,57301414;10;0;0;3;1;2;0;6;6;5;5;3;0;5;5;5;6;3;422,055
24-Cr-50;26;24;95;35;36;24;5,5;5,38;3,48;81,31892888;10;0;0;3;1;3;0;7;6;5;5;3;0;5;4;5;7;3;435,056
24-Cr-51;27;24;97;36;36;25;5,470588235;5,392156863;3,450980392;82,9313325;10;0;0;3;1;4;0;8;6;5;5;3;0;5;4;3;9;3;444,316
24-Cr-52;28;24;99;37;36;26;5,5;5,384615385;3,423076923;84,49279864;10;0;0;3;1;5;0;9;6;5;5;3;0;5;4;1;11;3;456,355
24-Cr-53;29;24;101;37;37;27;5,509433962;5,339622642;3,41509434;86,86911704;10;0;0;3;1;6;0;10;6;5;5;3;0;5;3;2;10;4;464,295
24-Cr-54;30;24;103;37;38;28;5,5;5,388888889;3,407407407;89,59555233;10;0;0;3;1;7;0;11;6;5;5;3;0;4;4;2;9;5;474,015
24-Cr-55;31;24;105;38;38;29;5,454545455;5,4;3,4;92,15862925;10;0;0;3;1;8;0;12;6;5;5;3;0;3;5;2;8;6;480,261
24-Cr-56;32;24;107;39;38;30;5,5;5,392857143;3,392857143;94,70252267;10;0;0;3;1;9;0;13;6;5;5;3;0;2;6;2;7;7;488,506
24-Cr-57;33;24;109;39;39;31;5,473684211;5,350877193;3,385964912;97,47076786;10;0;0;3;1;9;0;14;6;5;5;3;0;1;6;3;7;7;493,821
24-Cr-58;34;24;111;40;40;31;5,448275862;5,396551724;3,396551724;100,5183158;10;0;0;4;0;9;0;15;6;5;5;3;0;1;4;5;7;7;501,198
24-Cr-59;35;24;113;41;41;31;5,406779661;5,423728814;3,406779661;103,4521299;10;0;1;3;0;9;0;16;6;5;5;3;0;1;3;5;8;7;505,33
24-Cr-60;36;24;115;42;42;31;5,45;5,4;3,416666667;106,3564792;10;0;2;2;0;9;0;17;6;5;5;3;0;1;2;5;9;7;512,011
24-Cr-61;37;24;117;42;43;32;5,442622951;5,409836066;3,442622951;107,105875;10;0;3;1;0;9;0;18;6;5;5;3;0;0;3;5;8;8;515,783
24-Cr-62;38;24;119;42;44;33;5,435483871;5,387096774;3,467741935;108,5572464;10;0;3;1;0;10;0;19;6;5;5;3;0;0;2;6;7;9;522,054
24-Cr-63;39;24;121;43;44;34;5,412698413;5,380952381;3,492063492;110,0134662;10;0;3;1;0;11;0;20;6;5;5;3;0;0;2;5;7;10;525,226
24-Cr-64;40;24;122;43;44;35;5,421875;5,375;3,453125;110,7065092;10;0;3;1;0;12;1;20;6;5;5;3;0;0;2;5;6;11;530,997
24-Cr-65;41;24;123;43;44;36;5,415384615;5,384615385;3,415384615;111,461254;10;0;3;1;0;13;2;20;6;5;5;3;0;0;2;5;5;12;533,669
24-Cr-66;42;24;124;43;44;37;5,393939394;5,363636364;3,393939394;113,3964316;10;0;3;1;0;14;3;20;6;5;5;3;0;0;2;4;6;12;538,741
24-Cr-67;43;24;125;43;44;38;5,417910448;5,388059701;3,373134328;115,7081337;10;0;3;1;0;15;4;20;6;5;5;3;0;0;1;5;6;12;541,012
25-Mn-44;19;25;76;30;28;18;5,5;5,386363636;3,727272727;70,9058368;8;0;0;3;6;0;0;4;4;3;4;4;2;9;6;4;2;2;329,184
25-Mn-45;20;25;80;31;30;19;5,466666667;5,377777778;3,711111111;72,43830669;8;1;0;3;4;0;0;4;4;4;4;4;2;7;8;2;4;2;348,756
25-Mn-46;21;25;84;32;32;20;5,5;5,391304348;3,695652174;74,07387359;8;2;0;2;3;1;0;4;4;5;4;4;2;5;10;0;6;2;364,097
25-Mn-47;22;25;87;33;33;21;5,531914894;5,361702128;3,680851064;76,09759194;9;1;0;2;3;1;0;4;5;5;4;4;2;5;7;3;6;2;382,059
25-Mn-48;23;25;90;34;34;22;5,5;5,395833333;3,666666667;78,31802011;10;0;0;2;3;1;0;4;6;5;4;4;2;4;6;5;6;2;397,19
25-Mn-49;24;25;93;35;35;23;5,489795918;5,387755102;3,632653061;78,9478559;10;1;0;2;1;1;0;4;7;5;4;4;0;6;6;5;5;3;413,557
25-Mn-50;25;25;96;36;36;24;5,5;5,4;3,6;79,73852429;11;0;0;2;1;1;0;4;8;5;4;4;0;4;8;5;4;4;426,64
25-Mn-50-m 0,229 MeV;25;25;95;35;36;24;5,5;5,36;3,6;80,40406196;10;1;0;2;1;2;0;5;7;5;4;4;0;5;7;4;6;3;426,411
25-Mn-51;26;25;98;36;37;25;5,509803922;5,37254902;3,568627451;81,21304209;11;0;0;2;1;2;0;5;8;5;4;4;0;4;7;5;5;4;440,326
25-Mn-52;27;25;100;36;38;26;5,5;5,403846154;3,538461538;82,90037202;11;0;0;2;1;3;0;6;8;5;4;4;0;4;6;5;6;4;450,862
25-Mn-52-m 0,378 MeV;27;25;100;37;37;26;5,480769231;5,384615385;3,538461538;82,83162174;11;0;0;2;1;3;0;6;8;5;4;4;0;4;6;5;6;4;450,484
25-Mn-53;28;25;102;37;38;27;5,471698113;5,41509434;3,509433962;84,49208307;11;0;0;2;1;4;0;7;8;5;4;4;0;4;6;3;8;4;462,915
25-Mn-54;29;25;104;38;38;28;5,5;5,407407407;3,481481481;86,06681393;11;0;0;2;1;5;0;8;8;5;4;4;0;4;6;1;10;4;471,855
25-Mn-55;30;25;106;38;39;29;5,509090909;5,363636364;3,472727273;88,51354975;11;0;0;2;1;6;0;9;8;5;4;4;0;4;5;2;9;5;482,081
25-Mn-56;31;25;108;38;40;30;5,5;5,410714286;3,464285714;91,16518287;11;0;0;2;1;7;0;10;8;5;4;4;0;3;6;2;8;6;489,352
25-Mn-57;32;25;110;39;40;31;5,456140351;5,421052632;3,456140351;93,71216358;11;0;0;2;1;8;0;11;8;5;4;4;0;2;7;2;7;7;498,001
25-Mn-58;33;25;112;40;40;32;5,5;5,413793103;3,448275862;96,26649183;11;0;0;2;1;9;0;12;8;5;4;4;0;1;8;2;6;8;504,496
25-Mn-58-m 0,072 MeV;33;25;112;39;41;32;5,431034483;5,379310345;3,448275862;96,52726749;11;0;0;2;1;8;0;12;8;5;4;4;0;1;7;3;7;7;504,416
25-Mn-59;34;25;114;40;41;33;5,474576271;5,372881356;3,440677966;99,09769228;11;0;0;2;1;9;0;13;8;5;4;4;0;0;8;3;6;8;512,137
25-Mn-60;35;25;116;41;42;33;5,45;5,416666667;3,45;102,0788534;11;0;0;3;0;9;0;14;8;5;4;4;0;0;6;5;6;8;517,909
25-Mn-60-m 0,272 MeV;35;25;116;41;42;33;5,433333333;5,4;3,45;102,0350842;11;0;0;3;0;9;0;14;8;5;4;4;0;0;6;5;6;8;517,639
25-Mn-61;36;25;118;42;43;33;5,409836066;5,442622951;3,459016393;104,976127;11;0;1;2;0;9;0;15;8;5;4;4;0;0;5;5;7;8;524,36
25-Mn-62;37;25;120;43;44;33;5,451612903;5,419354839;3,467741935;107,9121223;11;0;2;1;0;9;0;16;8;5;4;4;0;0;4;5;8;8;528,912
25-Mn-63;38;25;122;43;45;34;5,444444444;5,396825397;3,492063492;109,3901039;11;0;2;1;0;10;0;17;8;5;4;4;0;0;3;6;7;9;535,343
25-Mn-64;39;25;124;43;46;35;5,453125;5,421875;3,515625;111,0739972;11;0;2;1;0;11;0;18;8;5;4;4;0;0;2;7;6;10;539,615
25-Mn-64-m 0,175 MeV;39;25;124;44;45;35;5,421875;5,390625;3,515625;110,8712863;11;0;2;1;0;11;0;18;8;5;4;4;0;0;3;5;7;10;539,415
25-Mn-65;40;25;126;44;46;36;5,430769231;5,415384615;3,538461538;112,5751074;11;0;2;1;0;12;0;19;8;5;4;4;0;0;2;6;6;11;545,786
25-Mn-66;41;25;128;45;46;37;5,454545455;5,424242424;3,560606061;114,237931;11;0;2;1;0;13;0;20;8;5;4;4;0;0;2;5;6;12;549,458
25-Mn-67;42;25;129;45;46;38;5,462686567;5,417910448;3,52238806;114,9198124;11;0;2;1;0;14;1;20;8;5;4;4;0;0;2;5;5;13;554,63
25-Mn-69;44;25;131;45;46;40;5,434782609;5,405797101;3,463768116;117,6923898;11;0;2;1;0;16;3;20;8;5;4;4;0;0;2;4;5;14;562,673
26-Fe-45;19;26;76;30;29;17;5,488888889;5,466666667;3,755555556;75,21625821;8;1;0;2;6;0;0;4;4;3;4;4;3;8;8;4;1;2;329,293
26-Fe-46;20;26;80;32;30;18;5,5;5,5;3,739130435;76,82134246;9;0;0;2;6;0;0;4;4;4;4;4;2;8;8;4;2;2;350,145
26-Fe-47;21;26;84;33;32;19;5,468085106;5,489361702;3,723404255;78,37984913;9;1;0;2;4;0;0;4;4;5;4;4;2;6;10;2;4;2;365,616
26-Fe-48;22;26;88;34;34;20;5,5;5,5;3,708333333;79,98362012;9;2;0;2;2;0;0;4;4;6;4;4;2;4;12;0;6;2;385,248
26-Fe-49;23;26;91;35;35;21;5,530612245;5,469387755;3,693877551;82,07821445;10;1;0;2;2;0;0;4;5;6;4;4;2;4;9;3;6;2;399,739
26-Fe-50;24;26;94;36;36;22;5,5;5,5;3,68;84,22626081;11;0;0;2;2;0;0;4;6;6;4;4;2;4;6;6;6;2;417,711
26-Fe-51;25;26;97;37;37;23;5,490196078;5,490196078;3,647058824;84,92147438;11;1;0;2;0;0;0;4;7;6;4;4;0;6;6;6;5;3;431,525
26-Fe-52;26;26;100;38;38;24;5,5;5,5;3,615384615;85,64047437;12;0;0;2;0;0;0;4;8;6;4;4;0;4;8;6;4;4;447,705
26-Fe-52-m 6,958 MeV;26;26;99;37;38;24;5,5;5,461538462;3,615384615;86,46531022;11;1;0;2;0;1;0;5;7;6;4;4;0;5;7;5;6;3;440,747
26-Fe-53;27;26;102;38;39;25;5,509433962;5,471698113;3,58490566;87,20079552;12;0;0;2;0;1;0;5;8;6;4;4;0;4;7;6;5;4;458,391
26-Fe-53-m 3,040 MeV;27;26;102;38;39;25;5,490566038;5,528301887;3,58490566;87,20079552;12;0;0;2;0;1;0;5;8;6;4;4;0;4;7;6;5;4;455,351
26-Fe-54;28;26;104;38;40;26;5,5;5,5;3,555555556;88,80275203;12;0;0;2;0;2;0;6;8;6;4;4;0;4;6;6;6;4;471,769
26-Fe-55;29;26;106;39;40;27;5,472727273;5,509090909;3,527272727;90,36406217;12;0;0;2;0;3;0;7;8;6;4;4;0;4;6;4;8;4;481,068
26-Fe-56;30;26;108;40;40;28;5,5;5,5;3,5;91,96502969;12;0;0;2;0;4;0;8;8;6;4;4;0;4;6;2;10;4;492,266
26-Fe-57;31;26;110;40;41;29;5,50877193;5,456140351;3,49122807;94,49101973;12;0;0;2;0;5;0;9;8;6;4;4;0;4;5;3;9;5;499,912
26-Fe-58;32;26;112;40;42;30;5,5;5,5;3,482758621;97,06404921;12;0;0;2;0;6;0;10;8;6;4;4;0;4;4;4;8;6;509,957
26-Fe-59;33;26;114;41;42;31;5,457627119;5,508474576;3,474576271;99,5913216;12;0;0;2;0;6;0;11;8;6;4;4;0;3;5;4;7;7;516,538
26-Fe-60;34;26;116;42;42;32;5,5;5,5;3,466666667;102,1630687;12;0;0;2;0;6;0;12;8;6;4;4;0;2;6;4;6;8;525,358
26-Fe-61;35;26;118;42;43;33;5,475409836;5,459016393;3,459016393;105,0574104;12;0;0;2;0;7;0;13;8;6;4;4;0;1;6;5;6;8;530,939
26-Fe-62;36;26;120;42;44;34;5,5;5,5;3,451612903;107,9940206;12;0;0;2;0;8;0;14;8;6;4;4;0;0;6;6;6;8;538,989
26-Fe-63;37;26;122;43;45;34;5,46031746;5,523809524;3,46031746;110,88727;12;0;1;1;0;9;0;15;8;6;4;4;0;0;5;6;7;8;543,711
26-Fe-64;38;26;124;44;46;34;5,5;5,5;3,46875;113,8249725;12;0;2;0;0;10;0;16;8;6;4;4;0;0;4;6;8;8;551,032
26-Fe-65;39;26;126;44;47;35;5,492307692;5,476923077;3,492307692;115,3887771;12;0;2;0;0;11;0;17;8;6;4;4;0;0;3;7;7;9;555,184
26-Fe-66;40;26;128;44;48;36;5,5;5,5;3,515151515;116,9872502;12;0;2;0;0;12;0;18;8;6;4;4;0;0;2;8;6;10;561,976
26-Fe-67;41;26;130;45;48;37;5,47761194;5,492537313;3,537313433;118,551739;12;0;2;0;0;13;0;19;8;6;4;4;0;0;2;7;6;11;566,147
26-Fe-67-m 0,387 MeV;41;26;130;45;48;37;5,52238806;5,507462687;3,537313433;118,551739;12;0;2;0;0;13;0;19;8;6;4;4;0;0;2;7;6;11;565,747
26-Fe-68;42;26;132;46;48;38;5,5;5,5;3,558823529;120,1495278;12;0;2;0;0;14;0;20;8;6;4;4;0;0;2;6;6;12;571,619
26-Fe-69;43;26;133;46;48;39;5,507246377;5,492753623;3,52173913;120,8476581;12;0;2;0;0;15;1;20;8;6;4;4;0;0;2;6;5;13;574,99
26-Fe-70;44;26;134;46;48;40;5,5;5,5;3,485714286;121,5637414;12;0;2;0;0;16;2;20;8;6;4;4;0;0;2;6;4;14;580,562
26-Fe-71;45;26;135;46;48;41;5,478873239;5,478873239;3,464788732;123,6675201;12;0;2;0;0;17;3;20;8;6;4;4;0;0;2;5;5;14;583,733
26-Fe-72;46;26;136;46;48;42;5,5;5,5;3,444444444;125,8063821;12;0;2;0;0;18;4;20;8;6;4;4;0;0;2;4;6;14;589,105
27-Co-50;23;27;91;37;36;18;5,5;5,48;3,68;90,20661226;8;4;0;1;2;2;0;5;4;4;7;3;2;5;10;2;7;1;399,639
27-Co-51;24;27;94;38;37;19;5,529411765;5,450980392;3,666666667;92,25583039;9;3;0;1;2;2;0;5;5;4;7;3;2;5;8;3;8;1;417,79
27-Co-52;25;27;97;39;38;20;5,5;5,480769231;3,653846154;94,45015718;10;2;0;1;2;2;0;5;6;4;7;3;2;5;6;4;9;1;432,512
27-Co-53;26;27;100;40;39;21;5,490566038;5,471698113;3,622641509;95,12304843;10;3;0;1;0;2;0;5;7;4;7;3;0;7;6;4;8;2;449,308
27-Co-53-m 3,190 MeV;26;27;99;39;39;21;5,509433962;5,452830189;3,622641509;95,96137233;10;2;0;2;1;2;0;6;6;4;7;3;1;6;6;3;10;1;446,118
27-Co-54;27;27;103;41;40;22;5,5;5,481481481;3,592592593;95,865373;11;2;0;1;0;2;0;5;8;4;7;3;0;5;8;4;7;3;462,744
27-Co-54-m 0,197 MeV;27;27;102;40;40;22;5,5;5,444444444;3,592592593;96,62139939;10;3;0;1;0;3;0;6;7;4;7;3;0;6;7;3;9;2;462,547
27-Co-55;28;27;105;41;41;23;5,509090909;5,454545455;3,563636364;97,3803693;11;2;0;1;0;3;0;6;8;4;7;3;0;5;7;4;8;3;476,833
27-Co-56;29;27;107;41;42;24;5,5;5,482142857;3,535714286;99,02836763;11;2;0;1;0;4;0;7;8;4;7;3;0;5;6;4;9;3;486,917
27-Co-57;30;27;109;42;42;25;5,473684211;5,49122807;3,50877193;100,6051691;11;2;0;1;0;5;0;8;8;4;7;3;0;5;6;2;11;3;498,293
27-Co-58;31;27;111;43;42;26;5,5;5,482758621;3,482758621;102,1914697;11;2;0;1;0;6;0;9;8;4;7;3;0;5;6;0;13;3;506,867
27-Co-58-m  0,025 MeV;31;27;111;42;43;26;5,482758621;5,448275862;3,5;103,0918755;11;2;0;1;0;6;0;9;8;4;7;3;0;5;5;3;10;4;506,842
27-Co-59;32;27;113;43;43;27;5,508474576;5,440677966;3,474576271;104,6561069;11;2;0;1;0;7;0;10;8;4;7;3;0;5;5;1;12;4;517,321
27-Co-60;33;27;115;43;44;28;5,5;5,483333333;3,466666667;107,2911007;11;2;0;1;0;8;0;11;8;4;7;3;0;5;4;2;11;5;524,813
27-Co-60-m  0,059 MeV;33;27;115;44;43;28;5,466666667;5,45;3,466666667;107,2159308;11;2;0;1;0;8;0;11;8;4;7;3;0;5;4;2;11;5;524,754
27-Co-61;34;27;117;44;44;29;5,459016393;5,491803279;3,459016393;109,830454;11;2;0;1;0;9;0;12;8;4;7;3;0;5;3;3;10;6;534,134
27-Co-62;35;27;119;45;44;30;5,5;5,483870968;3,451612903;112,3907924;11;2;0;1;0;10;0;13;8;4;7;3;0;5;2;4;9;7;540,738
27-Co-62-m  0,022 MeV;35;27;119;44;45;30;5,435483871;5,451612903;3,451612903;112,6534812;11;2;0;1;0;10;0;13;8;4;7;3;0;4;3;4;10;6;540,716
27-Co-63;36;27;121;45;45;31;5,476190476;5,444444444;3,444444444;115,2291851;11;2;0;1;0;11;0;14;8;4;7;3;0;4;2;5;9;7;549,218
27-Co-64;37;27;123;45;46;32;5,5;5,484375;3,4375;118,2223043;11;2;0;1;0;12;0;15;8;4;7;3;0;3;2;6;9;7;555,242
27-Co-65;38;27;125;46;46;33;5,461538462;5,461538462;3,430769231;121,0839643;11;2;0;1;0;13;0;16;8;4;7;3;0;2;3;5;10;7;562,691
27-Co-66;39;27;127;47;46;34;5,5;5,484848485;3,424242424;124,053823;11;2;0;1;0;14;0;17;8;4;7;3;0;1;4;4;11;7;567,693
27-Co-67;40;27;129;48;47;34;5,462686567;5,447761194;3,432835821;127,5183277;11;2;0;1;0;15;0;18;8;4;7;3;0;1;2;6;11;7;574,765
27-Co-68;41;27;131;49;48;34;5,5;5,485294118;3,441176471;131,1254015;11;2;0;1;0;16;0;19;8;4;7;3;0;1;0;8;11;7;579,136
27-Co-68-m ;41;27;130;48;47;35;5,470588235;5,441176471;3,397058824;128,2014154;11;2;0;1;0;16;1;18;8;4;7;3;0;1;2;6;10;8;579,136
27-Co-69;42;27;133;49;49;35;5,492753623;5,492753623;3,463768116;131,8418701;11;2;1;0;0;16;0;20;8;4;7;3;0;0;1;8;10;8;585,808
27-Co-70-m ;43;27;135;49;50;36;5,485714286;5,471428571;3,485714286;133,3824126;11;2;1;0;0;17;0;21;8;4;7;3;0;0;0;9;9;9;589,479
27-Co-70;43;27;135;50;49;36;5,471428571;5,485714286;3,485714286;133,3824126;11;2;1;0;0;17;0;21;8;4;7;3;0;0;0;9;9;9;589,479
27-Co-71;44;27;137;50;50;37;5,464788732;5,464788732;3,507042254;134,9047871;11;2;1;0;0;18;0;22;8;4;7;3;0;0;0;8;9;10;595,851
27-Co-72;45;27;138;50;50;38;5,472222222;5,458333333;3,472222222;135,6060368;11;2;1;0;0;19;1;22;8;4;7;3;0;0;0;8;8;11;599,322
27-Co-73;46;27;139;50;50;39;5,465753425;5,465753425;3,438356164;136,3244685;11;2;1;0;0;20;2;22;8;4;7;3;0;0;0;8;7;12;605,094
27-Co-74;47;27;140;50;50;40;5,445945946;5,445945946;3,418918919;138,3392008;11;2;1;0;0;21;3;22;8;4;7;3;0;0;0;8;6;13;608,365
27-Co-75;48;27;141;50;50;41;5,466666667;5,466666667;3,4;140,5690168;11;2;1;0;0;22;4;22;8;4;7;3;0;0;0;8;5;14;613,737
28-Ni-48;20;28;80;32;32;16;5,5;5,5;3,791666667;85,32096859;8;2;0;0;8;2;0;4;6;0;6;4;4;8;8;6;0;2;347,123
28-Ni-49;21;28;84;34;33;17;5,489795918;5,469387755;3,775510204;86,87976908;8;3;0;0;6;2;0;4;6;1;6;4;3;8;8;6;1;2;364,594
28-Ni-50;22;28;88;36;34;18;5,5;5,5;3,76;88,48324625;9;2;0;0;6;2;0;4;6;2;6;4;2;8;8;6;2;2;385,466
28-Ni-51;23;28;92;37;36;19;5,470588235;5,490196078;3,745098039;90,04293761;9;3;0;0;4;2;0;4;6;3;6;4;2;6;10;4;4;2;401,138
28-Ni-52;24;28;96;38;38;20;5,5;5,5;3,730769231;91,64552391;9;4;0;0;2;2;0;4;6;4;6;4;2;4;12;2;6;2;420,459
28-Ni-53;25;28;99;39;39;21;5,528301887;5,471698113;3,716981132;93,74152971;10;3;0;0;2;2;0;4;7;4;6;4;2;4;10;3;7;2;435,251
28-Ni-54;26;28;102;40;40;22;5,5;5,5;3,703703704;95,8881646;11;2;0;0;2;2;0;4;8;4;6;4;2;4;8;4;8;2;453,162
28-Ni-55;27;28;105;41;41;23;5,490909091;5,490909091;3,672727273;96,58416688;11;3;0;0;0;2;0;4;9;4;6;4;0;6;8;4;7;3;467,359
28-Ni-56;28;28;108;42;42;24;5,5;5,5;3,642857143;97,30237816;12;2;0;0;0;2;0;4;10;4;6;4;0;4;10;4;6;4;483,998
28-Ni-57;29;28;110;42;43;25;5,50877193;5,473684211;3,614035088;98,86393508;12;2;0;0;0;3;0;5;10;4;6;4;0;4;9;4;7;4;494,249
28-Ni-58;30;28;112;42;44;26;5,5;5,5;3,586206897;100,4646558;12;2;0;0;0;4;0;6;10;4;6;4;0;4;8;4;8;4;506,465
28-Ni-59;31;28;114;43;44;27;5,474576271;5,508474576;3,559322034;102,0269;12;2;0;0;0;5;0;7;10;4;6;4;0;4;8;2;10;4;515,465
28-Ni-60;32;28;116;44;44;28;5,5;5,5;3,533333333;103,6269335;12;2;0;0;0;6;0;8;10;4;6;4;0;4;8;0;12;4;526,853
28-Ni-61;33;28;118;44;45;29;5,508196721;5,459016393;3,524590164;106,1540243;12;2;0;0;0;7;0;9;10;4;6;4;0;4;7;1;11;5;534,674
28-Ni-62;34;28;120;44;46;30;5,5;5,5;3,516129032;108,725953;12;2;0;0;0;8;0;10;10;4;6;4;0;4;6;2;10;6;545,27
28-Ni-63;35;28;122;45;46;31;5,46031746;5,507936508;3,507936508;111,2537066;12;2;0;0;0;9;0;11;10;4;6;4;0;4;5;3;9;7;552,108
