,Z-XX-A-m,Binding,Predicted
1579,50-Sn-117,995.64197,1026.1867173771261
1580,50-Sn-117,995.328,1010.9619085911513
1581,50-Sn-118,1004.971,1028.8258158800006
1582,50-Sn-119,1011.45404,1034.133383417487
1583,50-Sn-119,1011.365,1033.9025435361266
1584,50-Sn-120,1020.563,1039.2156102370022
1585,50-Sn-121,1026.733,1052.1293956086636
1586,50-Sn-121,1026.727,1037.287528564155
1587,50-Sn-122,1035.546,1050.1192014279366
1588,50-Sn-123,1041.468,1057.1005143315197
1589,50-Sn-123,1041.4921,1055.8478299076558
1590,50-Sn-124,1049.98,1062.6365471116303
1591,50-Sn-124,1047.323,1054.9202210286855
1592,50-Sn-125,1055.714,1075.3746092168092
1593,50-Sn-125,1055.686,1060.5662370765806
1594,50-Sn-126,1063.907,1073.16357059139
1595,50-Sn-127,1069.457,1084.6239520754814
1596,50-Sn-127,1069.452,1072.089109053731
1597,50-Sn-128,1077.3601,1083.5136209948062
1598,50-Sn-128,1075.27,1101.7073531060219
1599,50-Sn-129,1082.691,1100.4582931307555
1600,50-Sn-129,1082.661,1077.399301191926
1601,50-Sn-130,1090.312,1094.0320207865238
1602,50-Sn-130,1090.312,1116.9572830702066
1603,50-Sn-131,1095.5591,1110.1860632042885
1604,50-Sn-131-m ,1095.5591,1088.475866067648
1605,50-Sn-132,1102.87,1104.3908198589681
1606,50-Sn-132,1098.0221,1119.6888675028085
1607,50-Sn-133,1105.338,1113.7723926009535
1608,50-Sn-134,1109.2589,1116.7733110586405
1609,50-Sn-135,1111.331,1123.2865701692103
1610,50-Sn-136,1115.1019,1127.359325563848
1611,50-Sn-137,1116.974,1141.8939893444776
1612,51-Sb-103,847.659,896.1861199133397
1613,51-Sb-104,858.731,909.1322753604055
1614,51-Sb-105,871.422,916.7438673769832
1615,51-Sb-106,881.974,927.1207886924149
1616,51-Sb-107,894.445,933.1071279655099
1617,51-Sb-108,904.327,946.4006055729986
1618,51-Sb-109,916.14703,949.7850906770826
1619,51-Sb-110,925.5,962.6165135788918
1620,51-Sb-111,936.92096,966.6387766551376
1621,51-Sb-112,945.70404,986.7365940898658
1622,51-Sb-113,956.594,987.8445505318047
1623,51-Sb-114,964.756,1006.8162892816067
1624,51-Sb-114,964.266,988.036146383524
1625,51-Sb-115,975.32104,1007.2038553195597
1626,51-Sb-115,974.02106,1011.6163090344668
1627,51-Sb-115,972.525,1011.4132149320245
1628,51-Sb-115,971.661,1018.9819384703636
1629,51-Sb-116,983.21,1013.7844791816474
1630,51-Sb-116,982.827,1009.7345953074695
1631,51-Sb-117,993.105,1016.3017212230563
1632,51-Sb-117,989.974,1031.486036169529
1633,51-Sb-118,1000.531,1033.7258204217553
1634,51-Sb-118,1000.28094,1018.8863280159832
1635,51-Sb-119,1010.081,1036.4997734086512
1636,51-Sb-119,1007.23895,1051.244655207932
1637,51-Sb-120,1017.099,1054.1953313091992
1638,51-Sb-120-m ,1017.099,1041.6899838001727
1639,51-Sb-121,1026.342,1059.4510317374468
1640,51-Sb-122,1033.148,1064.4271496997476
1641,51-Sb-122,1033.011,1072.340445816815
1642,51-Sb-122,1032.985,1057.4113420439958
1643,51-Sb-123,1042.114,1077.2716956050992
1644,51-Sb-124,1048.581,1075.1500183847547
1645,51-Sb-124,1048.5701,1083.472127307415
1646,51-Sb-124,1048.544,1081.9681061204672
1647,51-Sb-125,1057.288,1081.4303129372001
1648,51-Sb-126,1063.504,1086.0374870284795
1649,51-Sb-126,1063.484,1079.0562991058825
1650,51-Sb-126,1063.464,1093.3010069987176
1651,51-Sb-127,1071.876,1098.7665505026578
1652,51-Sb-128,1077.8569,1096.3256718437672
1653,51-Sb-128-m ,1077.8569,1110.265801073432
1654,51-Sb-129,1085.947,1107.6646967903375
1655,51-Sb-129,1085.947,1095.2024677215218
1656,51-Sb-130,1091.682,1106.484376357436
1657,51-Sb-130,1091.677,1124.942443254292
1658,51-Sb-131,1099.449,1123.592398642242
1659,51-Sb-132,1105.2079,1116.8496744411586
1660,51-Sb-132-m ,1105.2079,1140.3084805545807
1661,51-Sb-133,1112.5449,1133.1621927493213
